"Found","Response Code","Content Length"
"/wordpress/.hta/","403","451"
"/wordpress/.htpasswd/","403","451"
"/wordpress/.hta.php","403","451"
"/wordpress/.htaccess.php","403","451"
"/wordpress/.htpasswd.php","403","451"
"/wordpress/.htaccess/","403","451"
"/wordpress/wp-content/","200","147"
"/wordpress/wp-includes/","200","178"
"/wordpress/wp-settings.php","500","185"
"/wordpress/wp-content/.htaccess/","403","451"
"/wordpress/wp-content/.hta/","403","451"
"/wordpress/wp-content/.htpasswd/","403","451"
"/wordpress/wp-content/.hta.php","403","451"
"/wordpress/wp-content/.htpasswd.php","403","451"
"/wordpress/wp-content/.htaccess.php","403","451"
"/wordpress/wp-includes/.hta/","403","451"
"/wordpress/wp-includes/.hta.php","403","451"
"/wordpress/wp-includes/.htaccess/","403","451"
"/wordpress/wp-includes/.htaccess.php","403","451"
"/wordpress/wp-includes/.htpasswd.php","403","451"
"/wordpress/wp-includes/.htpasswd/","403","451"
"/wordpress/wp-includes/assets/","200","1232"
"/wordpress/wp-includes/assets/.hta/","403","451"
"/wordpress/wp-includes/assets/.htaccess/","403","451"
"/wordpress/wp-includes/assets/.htpasswd/","403","451"
"/wordpress/wp-includes/assets/.hta.php","403","451"
"/wordpress/wp-includes/assets/.htpasswd.php","403","451"
"/wordpress/wp-includes/assets/.htaccess.php","403","451"
"/wordpress/wp-includes/blocks/","200","3686"
"/wordpress/wp-includes/blocks.php","200","147"
"/wordpress/wp-includes/blocks/.htaccess/","403","451"
"/wordpress/wp-includes/blocks/.hta/","403","451"
"/wordpress/wp-includes/blocks/.htpasswd/","403","451"
"/wordpress/wp-includes/blocks/.hta.php","403","451"
"/wordpress/wp-includes/blocks/.htaccess.php","403","451"
"/wordpress/wp-includes/blocks/.htpasswd.php","403","451"
"/wordpress/wp-includes/bookmark.php","200","147"
"/wordpress/wp-includes/cache.php","500","185"
"/wordpress/wp-includes/category.php","200","147"
"/wordpress/wp-includes/certificates/","200","1218"
"/wordpress/wp-includes/certificates/.hta.php","403","451"
"/wordpress/wp-includes/certificates/.hta/","403","451"
"/wordpress/wp-includes/certificates/.htaccess/","403","451"
"/wordpress/wp-includes/certificates/.htpasswd/","403","451"
"/wordpress/wp-includes/certificates/.htaccess.php","403","451"
"/wordpress/wp-includes/certificates/.htpasswd.php","403","451"
"/wordpress/wp-includes/comment.php","200","147"
"/wordpress/wp-includes/compat.php","200","147"
"/wordpress/wp-includes/cron.php","200","147"
"/wordpress/wp-includes/css/","200","178"
"/wordpress/wp-includes/customize/","200","178"
"/wordpress/wp-includes/blocks/archives.php","500","185"
"/wordpress/wp-includes/customize/.hta.php","403","451"
"/wordpress/wp-includes/customize/.htaccess.php","403","451"
"/wordpress/wp-includes/customize/.htpasswd.php","403","451"
"/wordpress/wp-includes/css/.htaccess/","403","451"
"/wordpress/wp-includes/css/.hta/","403","451"
"/wordpress/wp-includes/css/.htpasswd/","403","451"
"/wordpress/wp-includes/customize/.htaccess/","403","451"
"/wordpress/wp-includes/customize/.htpasswd/","403","451"
"/wordpress/wp-includes/customize/.hta/","403","451"
"/wordpress/wp-includes/css/.hta.php","403","451"
"/wordpress/wp-includes/css/.htaccess.php","403","451"
"/wordpress/wp-includes/css/.htpasswd.php","403","451"
"/wordpress/wp-includes/date.php","500","185"
"/wordpress/wp-includes/blocks/block.php","500","185"
"/wordpress/wp-includes/blocks/calendar.php","500","185"
"/wordpress/","200","56394"
"/wordpress/wp-includes/blocks/categories.php","500","185"
"/wordpress/wp-includes/embed.php","200","147"
"/wordpress/wp-includes/feed.php","200","147"
"/wordpress/wp-includes/fonts/","200","2041"
"/wordpress/wp-includes/formatting.php","200","147"
"/wordpress/wp-includes/functions.php","500","185"
"/wordpress/wp-content/index.php","200","147"
"/wordpress/wp-includes/images/","200","6860"
"/wordpress/wp-includes/http.php","200","147"
"/wordpress/wp-content/index.php/","200","147"
"/wordpress/wp-includes/js/","200","178"
"/wordpress/wp-includes/load.php","200","147"
"/wordpress/wp-includes/locale.php","500","185"
"/wordpress/wp-includes/css/dist/","200","2857"
"/wordpress/wp-includes/media.php","500","185"
"/wordpress/wp-includes/meta.php","200","147"
"/wordpress/wp-includes/option.php","200","147"
"/wordpress/wp-includes/css/dist/.hta/","403","451"
"/wordpress/wp-includes/css/dist/.htaccess/","403","451"
"/wordpress/wp-includes/css/dist/.htpasswd/","403","451"
"/wordpress/wp-includes/css/dist/.hta.php","403","451"
"/wordpress/wp-includes/css/dist/.htpasswd.php","403","451"
"/wordpress/wp-includes/css/dist/.htaccess.php","403","451"
"/wordpress/wp-includes/js/.htaccess.php","403","451"
"/wordpress/wp-includes/js/.hta.php","403","451"
"/wordpress/wp-includes/js/.hta/","403","451"
"/wordpress/wp-includes/js/.htaccess/","403","451"
"/wordpress/wp-includes/js/.htpasswd.php","403","451"
"/wordpress/wp-includes/images/.hta.php","403","451"
"/wordpress/wp-includes/images/.htaccess.php","403","451"
"/wordpress/wp-includes/images/.htpasswd.php","403","451"
"/wordpress/wp-includes/js/.htpasswd/","403","451"
"/wordpress/wp-includes/images/.hta/","403","451"
"/wordpress/wp-includes/images/.htaccess/","403","451"
"/wordpress/wp-includes/fonts/.htaccess.php","403","451"
"/wordpress/wp-includes/fonts/.hta.php","403","451"
"/wordpress/wp-includes/fonts/.htpasswd.php","403","451"
"/wordpress/wp-includes/images/.htpasswd/","403","451"
"/wordpress/wp-includes/fonts/.htaccess/","403","451"
"/wordpress/wp-includes/fonts/.htpasswd/","403","451"
"/wordpress/wp-includes/fonts/.hta/","403","451"
"/wordpress/index.php/","301","237"
"/wordpress/index.php","301","237"
